
---------- Begin Simulation Statistics ----------
simSeconds                                   0.305733                       # Number of seconds simulated (Second)
simTicks                                 305733315500                       # Number of ticks simulated (Tick)
finalTick                                305733315500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   7360.55                       # Real time elapsed on the host (Second)
hostTickRate                                 41536735                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     649152                       # Number of bytes of host memory used (Byte)
simInsts                                    735703330                       # Number of instructions simulated (Count)
simOps                                      830131201                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    99952                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     112781                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        611466632                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      1724510042                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      174                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     1344754497                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued               11900778                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            894379014                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined        2184000635                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  89                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           611412780                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.199422                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.436264                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::FloatCmp                     5      0.00%      2.02% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     4      0.00%      2.02% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult             11485685     12.79%     14.81% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc           6290342      7.01%     21.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                  8550      0.01%     21.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc              2610529      2.91%     24.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     24.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     24.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     24.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                      0      0.00%     24.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%     24.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                      0      0.00%     24.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                     0      0.00%     24.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     24.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     24.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                    0      0.00%     24.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     24.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%     24.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSqrt                     0      0.00%     24.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAdd                 0      0.00%     24.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAlu                 0      0.00%     24.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCmp                 0      0.00%     24.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCvt                 0      0.00%     24.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatDiv                 0      0.00%     24.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMisc                0      0.00%     24.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMult                0      0.00%     24.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMultAcc             0      0.00%     24.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatSqrt                0      0.00%     24.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceAdd                0      0.00%     24.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceAlu                0      0.00%     24.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceCmp                0      0.00%     24.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatReduceAdd            0      0.00%     24.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatReduceCmp            0      0.00%     24.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAes                      0      0.00%     24.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAesMix                   0      0.00%     24.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha1Hash                 0      0.00%     24.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha1Hash2                0      0.00%     24.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha256Hash               0      0.00%     24.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha256Hash2              0      0.00%     24.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShaSigma2                0      0.00%     24.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShaSigma3                0      0.00%     24.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdPredAlu                  0      0.00%     24.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::MemRead               47394727     52.80%     77.53% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::MemWrite              20167326     22.47%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMemRead                 0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMemWrite                0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IprAccess                    0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::InstPrefetch                 0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statIssuedInstType_0::No_OpClass           96      0.00%      0.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::IntAlu     440306340     32.74%     32.74% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::IntMult        93722      0.01%     32.75% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::IntDiv            12      0.00%     32.75% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatAdd     80581739      5.99%     38.74% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatCmp      2248697      0.17%     38.91% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatCvt      1606817      0.12%     39.03% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatMult    104700508      7.79%     46.81% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatMultAcc     85909392      6.39%     53.20% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatDiv      1504745      0.11%     53.31% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatMisc      6470097      0.48%     53.80% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatSqrt            0      0.00%     53.80% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdAdd           73      0.00%     53.80% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdAddAcc            0      0.00%     53.80% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdAlu           87      0.00%     53.80% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdCmp          144      0.00%     53.80% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdCvt            2      0.00%     53.80% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdMisc       666389      0.05%     53.85% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdMult            0      0.00%     53.85% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdMultAcc            0      0.00%     53.85% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdShift            0      0.00%     53.85% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdShiftAcc            0      0.00%     53.85% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdDiv            0      0.00%     53.85% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdSqrt            0      0.00%     53.85% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatAdd            0      0.00%     53.85% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatAlu            0      0.00%     53.85% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatCmp            0      0.00%     53.85% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatCvt            0      0.00%     53.85% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatDiv            0      0.00%     53.85% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatMisc            0      0.00%     53.85% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatMult            0      0.00%     53.85% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatMultAcc            0      0.00%     53.85% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatSqrt            0      0.00%     53.85% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdReduceAdd            0      0.00%     53.85% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdReduceAlu            0      0.00%     53.85% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdReduceCmp            0      0.00%     53.85% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatReduceAdd            0      0.00%     53.85% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatReduceCmp            0      0.00%     53.85% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdAes            0      0.00%     53.85% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdAesMix            0      0.00%     53.85% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdSha1Hash            0      0.00%     53.85% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdSha1Hash2            0      0.00%     53.85% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdSha256Hash            0      0.00%     53.85% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdSha256Hash2            0      0.00%     53.85% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdShaSigma2            0      0.00%     53.85% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdShaSigma3            0      0.00%     53.85% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdPredAlu            0      0.00%     53.85% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::MemRead    486451675     36.17%     90.02% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::MemWrite    134213962      9.98%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatMemRead            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatMemWrite            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::IprAccess            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::InstPrefetch            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::total     1344754497                       # Number of instructions issued per FU type, per thread (Count)
system.cpu.issueRate                         2.199228                       # Inst issue rate ((Count/Cycle))
system.cpu.fuBusy                            89770011                       # FU busy when requested (Count)
system.cpu.fuBusyRate                        0.066756                       # FU busy rate (busy events/executed inst) ((Count/Count))
system.cpu.intInstQueueReads               1507858859                       # Number of integer instruction queue reads (Count)
system.cpu.intInstQueueWrites               674559477                       # Number of integer instruction queue writes (Count)
system.cpu.intInstQueueWakeupAccesses       421911568                       # Number of integer instruction queue wakeup accesses (Count)
system.cpu.fpInstQueueReads                         0                       # Number of floating instruction queue reads (Count)
system.cpu.fpInstQueueWrites                        0                       # Number of floating instruction queue writes (Count)
system.cpu.fpInstQueueWakeupAccesses                0                       # Number of floating instruction queue wakeup accesses (Count)
system.cpu.vecInstQueueReads               1894733704                       # Number of vector instruction queue reads (Count)
system.cpu.vecInstQueueWrites              1944350520                       # Number of vector instruction queue writes (Count)
system.cpu.vecInstQueueWakeupAccesses       734274474                       # Number of vector instruction queue wakeup accesses (Count)
system.cpu.intAluAccesses                   449763198                       # Number of integer alu accesses (Count)
system.cpu.fpAluAccesses                            0                       # Number of floating point alu accesses (Count)
system.cpu.vecAluAccesses                   984761214                       # Number of vector alu accesses (Count)
system.cpu.numInsts                        1261820774                       # Number of executed instructions (Count)
system.cpu.numLoadInsts                     453500641                       # Number of load instructions executed (Count)
system.cpu.numSquashedInsts                  82933723                       # Number of squashed instructions skipped in execute (Count)
system.cpu.numSwp                                   0                       # Number of swp insts executed (Count)
system.cpu.numNop                                 335                       # Number of nop insts executed (Count)
system.cpu.numRefs                          586115000                       # Number of memory reference insts executed (Count)
system.cpu.numBranches                       73285587                       # Number of branches executed (Count)
system.cpu.numStoreInsts                    132614359                       # Number of stores executed (Count)
system.cpu.numRate                           2.063597                       # Inst execution rate ((Count/Cycle))
system.cpu.timesIdled                             713                       # Number of times that the entire CPU went into an idle state and unscheduled itself (Count)
system.cpu.idleCycles                           53852                       # Total number of cycles that the CPU has spent unscheduled due to idling (Cycle)
system.cpu.committedInsts                   735703330                       # Number of Instructions Simulated (Count)
system.cpu.committedOps                     830131201                       # Number of Ops (including micro ops) Simulated (Count)
system.cpu.cpi                               0.831132                       # CPI: Cycles Per Instruction ((Cycle/Count))
system.cpu.totalCpi                          0.831132                       # CPI: Total CPI of All Threads ((Cycle/Count))
system.cpu.ipc                               1.203178                       # IPC: Instructions Per Cycle ((Count/Cycle))
system.cpu.totalIpc                          1.203178                       # IPC: Total IPC of All Threads ((Count/Cycle))
system.cpu.intRegfileReads                 1035238592                       # Number of integer regfile reads (Count)
system.cpu.intRegfileWrites                 313177659                       # Number of integer regfile writes (Count)
system.cpu.vecRegfileReads                 1363612419                       # number of vector regfile reads (Count)
system.cpu.ccRegfileReads                   205051564                       # number of cc regfile reads (Count)
system.cpu.ccRegfileWrites                  129196753                       # number of cc regfile writes (Count)
system.cpu.miscRegfileReads                2000608599                       # number of misc regfile reads (Count)
system.cpu.miscRegfileWrites                226761693                       # number of misc regfile writes (Count)
system.cpu.MemDepUnit__0<bad format>.insertedLoads    501805470                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0<bad format>.insertedStores    267198348                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0<bad format>.conflictingLoads       794884                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__0<bad format>.conflictingStores      2146400                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__0<bad format>.baseUsingStoreSetCheck    339517491                       # Number of times base case uses storeset (Count)
system.cpu.MemDepUnit__0<bad format>.BypassStoreSetCheck    429485692                       # Number of time we bypass storeset stores due to alias analysis (Count)
system.cpu.MemDepUnit__0<bad format>.SSITCollisions     14998312                       # Number of times two different PCs hash to the same SSIT entry within a clear period. (Count)
system.cpu.MemDepUnit__0<bad format>.SSITOverwrites           18                       # Number of times an existing SSIT entry is overwritten (Count)
system.cpu.MemDepUnit__0<bad format>.LFSTInvalidations      1181505                       # Number of times an issued store has to invalidate itself in LFST. (Count)
system.cpu.MemDepUnit__1<bad format>.insertedLoads            0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1<bad format>.insertedStores            0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1<bad format>.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__1<bad format>.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__1<bad format>.baseUsingStoreSetCheck            0                       # Number of times base case uses storeset (Count)
system.cpu.MemDepUnit__1<bad format>.BypassStoreSetCheck            0                       # Number of time we bypass storeset stores due to alias analysis (Count)
system.cpu.MemDepUnit__1<bad format>.SSITCollisions            0                       # Number of times two different PCs hash to the same SSIT entry within a clear period. (Count)
system.cpu.MemDepUnit__1<bad format>.SSITOverwrites            0                       # Number of times an existing SSIT entry is overwritten (Count)
system.cpu.MemDepUnit__1<bad format>.LFSTInvalidations            0                       # Number of times an issued store has to invalidate itself in LFST. (Count)
system.cpu.MemDepUnit__2<bad format>.insertedLoads            0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__2<bad format>.insertedStores            0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__2<bad format>.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__2<bad format>.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__2<bad format>.baseUsingStoreSetCheck            0                       # Number of times base case uses storeset (Count)
system.cpu.MemDepUnit__2<bad format>.BypassStoreSetCheck            0                       # Number of time we bypass storeset stores due to alias analysis (Count)
system.cpu.MemDepUnit__2<bad format>.SSITCollisions            0                       # Number of times two different PCs hash to the same SSIT entry within a clear period. (Count)
system.cpu.MemDepUnit__2<bad format>.SSITOverwrites            0                       # Number of times an existing SSIT entry is overwritten (Count)
system.cpu.MemDepUnit__2<bad format>.LFSTInvalidations            0                       # Number of times an issued store has to invalidate itself in LFST. (Count)
system.cpu.MemDepUnit__3<bad format>.insertedLoads            0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__3<bad format>.insertedStores            0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__3<bad format>.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__3<bad format>.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__3<bad format>.baseUsingStoreSetCheck            0                       # Number of times base case uses storeset (Count)
system.cpu.MemDepUnit__3<bad format>.BypassStoreSetCheck            0                       # Number of time we bypass storeset stores due to alias analysis (Count)
system.cpu.MemDepUnit__3<bad format>.SSITCollisions            0                       # Number of times two different PCs hash to the same SSIT entry within a clear period. (Count)
system.cpu.MemDepUnit__3<bad format>.SSITOverwrites            0                       # Number of times an existing SSIT entry is overwritten (Count)
system.cpu.MemDepUnit__3<bad format>.LFSTInvalidations            0                       # Number of times an issued store has to invalidate itself in LFST. (Count)
system.cpu.StoreSet__0.insertedLoads        501805470                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.StoreSet__0.insertedStores       267198348                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.StoreSet__0.conflictingLoads        794884                       # Number of conflicting loads. (Count)
system.cpu.StoreSet__0.conflictingStores      2146400                       # Number of conflicting stores. (Count)
system.cpu.StoreSet__0.baseUsingStoreSetCheck    339517491                       # Number of times base case uses storeset (Count)
system.cpu.StoreSet__0.BypassStoreSetCheck    429485692                       # Number of time we bypass storeset stores due to alias analysis (Count)
system.cpu.StoreSet__0.SSITCollisions        14998312                       # Number of times two different PCs hash to the same SSIT entry within a clear period. (Count)
system.cpu.StoreSet__0.SSITOverwrites              18                       # Number of times an existing SSIT entry is overwritten (Count)
system.cpu.StoreSet__0.LFSTInvalidations      1181505                       # Number of times an issued store has to invalidate itself in LFST. (Count)
system.cpu.StoreSet__1.insertedLoads                0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.StoreSet__1.insertedStores               0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.StoreSet__1.conflictingLoads             0                       # Number of conflicting loads. (Count)
system.cpu.StoreSet__1.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.StoreSet__1.baseUsingStoreSetCheck            0                       # Number of times base case uses storeset (Count)
system.cpu.StoreSet__1.BypassStoreSetCheck            0                       # Number of time we bypass storeset stores due to alias analysis (Count)
system.cpu.StoreSet__1.SSITCollisions               0                       # Number of times two different PCs hash to the same SSIT entry within a clear period. (Count)
system.cpu.StoreSet__1.SSITOverwrites               0                       # Number of times an existing SSIT entry is overwritten (Count)
system.cpu.StoreSet__1.LFSTInvalidations            0                       # Number of times an issued store has to invalidate itself in LFST. (Count)
system.cpu.StoreSet__2.insertedLoads                0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.StoreSet__2.insertedStores               0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.StoreSet__2.conflictingLoads             0                       # Number of conflicting loads. (Count)
system.cpu.StoreSet__2.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.StoreSet__2.baseUsingStoreSetCheck            0                       # Number of times base case uses storeset (Count)
system.cpu.StoreSet__2.BypassStoreSetCheck            0                       # Number of time we bypass storeset stores due to alias analysis (Count)
system.cpu.StoreSet__2.SSITCollisions               0                       # Number of times two different PCs hash to the same SSIT entry within a clear period. (Count)
system.cpu.StoreSet__2.SSITOverwrites               0                       # Number of times an existing SSIT entry is overwritten (Count)
system.cpu.StoreSet__2.LFSTInvalidations            0                       # Number of times an issued store has to invalidate itself in LFST. (Count)
