Top 100000000 metrics most correlated with CPI change:
-----------------------------------------------------
system.switch_cpus.numCycles   | Correlation: 1.0000 ↑
system.mem_ctrls.dram.rank1.pwrStateTime::ACT | Correlation: 0.8425 ↑
system.switch_cpus.branchPred.NotTakenMispredicted | Correlation: 0.8417 ↑
system.switch_cpus.idleCycles  | Correlation: 0.8406 ↑
system.switch_cpus.iew.dispStoreInsts | Correlation: 0.8387 ↑
system.switch_cpus.MemDepUnit__0.insertedStores | Correlation: 0.8387 ↑
system.mem_ctrls.dram.rank0.pwrStateTime::ACT | Correlation: 0.8382 ↑
system.switch_cpus.timesIdled  | Correlation: 0.8287 ↑
system.switch_cpus.fetchStats0.icacheStallCycles | Correlation: 0.8231 ↑
system.switch_cpus.iew.dispatchedInsts | Correlation: 0.8223 ↑
system.switch_cpus.instsAdded  | Correlation: 0.8223 ↑
system.switch_cpus.rob.writes  | Correlation: 0.8191 ↑
system.switch_cpus.rename.renamedInsts | Correlation: 0.8159 ↑
system.switch_cpus.fetch.cacheLines | Correlation: 0.8147 ↑
system.switch_cpus.decode.decodedInsts | Correlation: 0.8056 ↑
system.switch_cpus.branchPred.targetWrong_0::total | Correlation: 0.8028 ↑
system.switch_cpus.branchPred.condIncorrect | Correlation: 0.8028 ↑
system.switch_cpus.branchPred.corrected_0::total | Correlation: 0.8028 ↑
system.switch_cpus.branchPred.btb.misses::total | Correlation: 0.8010 ↑
system.switch_cpus.fetch.nisnDist::3 | Correlation: 0.7941 ↑
system.switch_cpus.intAluAccesses | Correlation: 0.7882 ↑
system.switch_cpus.executeStats0.numIntRegReads | Correlation: 0.7774 ↑
system.switch_cpus.branchPred.targetWrong_0::Return | Correlation: 0.7769 ↑
system.switch_cpus.branchPred.TakenMispredicted | Correlation: 0.7727 ↑
system.switch_cpus.fetchStats0.numInsts | Correlation: 0.7716 ↑
system.switch_cpus.fetch.nisnDist::0 | Correlation: 0.7706 ↑
system.switch_cpus.rename.blockCycles | Correlation: 0.7666 ↑
system.switch_cpus.rename.renamedOperands | Correlation: 0.7509 ↑
system.switch_cpus.fetch.nisnDist::1 | Correlation: 0.7448 ↑
system.switch_cpus.commit.branchMispredicts | Correlation: 0.7431 ↑
system.switch_cpus.fetch.nisnDist::4 | Correlation: 0.7421 ↑
system.mem_ctrls.dram.rank0.preBackEnergy | Correlation: 0.7392 ↑
system.mem_ctrls.dram.rank0.pwrStateTime::IDLE | Correlation: 0.7342 ↑
system.switch_cpus.executeStats0.numMemRefs | Correlation: 0.7231 ↑
system.switch_cpus.rename.intLookups | Correlation: 0.7210 ↑
system.switch_cpus.MemDepUnit__0.insertedLoads | Correlation: 0.7197 ↑
system.switch_cpus.iew.dispLoadInsts | Correlation: 0.7197 ↑
system.switch_cpus.branchPred.squashes_0::total | Correlation: 0.7173 ↑
system.switch_cpus.rename.runCycles | Correlation: 0.7071 ↑
system.switch_cpus.executeStats0.numIntRegWrites | Correlation: 0.7021 ↑
system.mem_ctrls.dram.rank1.preBackEnergy | Correlation: 0.6909 ↑
system.mem_ctrls.dram.rank1.pwrStateTime::IDLE | Correlation: 0.6854 ↑
system.switch_cpus.branchPred.btb.misses::DirectCond | Correlation: 0.6839 ↑
system.switch_cpus.rename.idleCycles | Correlation: 0.6808 ↑
system.switch_cpus.iew.predictedTakenIncorrect | Correlation: 0.6635 ↑
system.switch_cpus.statIssuedInstType_0::MemRead | Correlation: 0.6624 ↑
system.switch_cpus.intInstQueueWrites | Correlation: 0.6566 ↑
system.switch_cpus.branchPred.squashes_0::DirectCond | Correlation: 0.6525 ↑
system.switch_cpus.lsq0.memOrderViolation | Correlation: 0.6507 ↑
system.mem_ctrls.priorityMaxLatency | Correlation: 0.6357 ↑
system.switch_cpus.numIssuedDist::3 | Correlation: 0.6299 ↑
system.switch_cpus.numIssuedDist::8 | Correlation: 0.6287 ↑
system.switch_cpus.decode.runCycles | Correlation: 0.6274 ↑
system.switch_cpus.numIssuedDist::7 | Correlation: 0.6251 ↑
system.switch_cpus.decode.idleCycles | Correlation: 0.6218 ↑
system.switch_cpus.executeStats0.numLoadInsts | Correlation: 0.6109 ↑
system.l2.ReadCleanReq.avgMshrMissLatency::switch_cpus.inst | Correlation: 0.5920 ↑
system.l2.ReadCleanReq.avgMshrMissLatency::total | Correlation: 0.5920 ↑
system.l2.overallAvgMshrMissLatency::switch_cpus.inst | Correlation: 0.5920 ↑
system.l2.demandAvgMshrMissLatency::switch_cpus.inst | Correlation: 0.5920 ↑
system.l2.overallAvgMissLatency::switch_cpus.inst | Correlation: 0.5871 ↑
system.l2.demandAvgMissLatency::switch_cpus.inst | Correlation: 0.5871 ↑
system.l2.ReadCleanReq.avgMissLatency::switch_cpus.inst | Correlation: 0.5871 ↑
system.l2.ReadCleanReq.avgMissLatency::total | Correlation: 0.5838 ↑
system.switch_cpus.numIssuedDist::2 | Correlation: 0.5813 ↑
system.mem_ctrls.requestorReadAvgLat::switch_cpus.inst | Correlation: 0.5744 ↑
system.switch_cpus.fetchStats0.branchRate | Correlation: 0.5387 ↑
system.switch_cpus.numIssuedDist::6 | Correlation: 0.5279 ↑
system.switch_cpus.fetch.icacheSquashes | Correlation: 0.5242 ↑
system.switch_cpus.numIssuedDist::5 | Correlation: 0.5198 ↑
system.switch_cpus.commit.numCommittedDist::1 | Correlation: 0.5152 ↑
system.switch_cpus.lsq0.ignoredResponses | Correlation: 0.5050 ↑
system.mem_ctrls.numStayReadState | Correlation: 0.5034 ↑
system.mem_ctrls.dram.rank0.writeEnergy | Correlation: 0.5030 ↑
system.switch_cpus.branchPred.btb.misses::DirectUncond | Correlation: 0.4815 ↑
system.switch_cpus.numIssuedDist::stdev | Correlation: 0.4732 ↑
system.switch_cpus.fetch.squashCycles | Correlation: 0.4718 ↑
system.switch_cpus.branchPred.mispredicted_0::CallDirect | Correlation: 0.4615 ↑
system.switch_cpus.branchPred.btb.mispredict::CallDirect | Correlation: 0.4512 ↑
system.switch_cpus.branchPred.btb.updates::CallDirect | Correlation: 0.4512 ↑
system.switch_cpus.branchPred.corrected_0::CallDirect | Correlation: 0.4512 ↑
system.mem_ctrls.requestorReadTotalLat::switch_cpus.inst | Correlation: 0.4511 ↑
system.switch_cpus.iew.squashCycles | Correlation: 0.4492 ↑
system.switch_cpus.decode.squashCycles | Correlation: 0.4492 ↑
system.switch_cpus.rename.squashCycles | Correlation: 0.4492 ↑
system.mem_ctrls.requestorWriteAvgLat::writebacks | Correlation: 0.4426 ↑
system.switch_cpus.numIssuedDist::4 | Correlation: 0.4169 ↑
system.switch_cpus.branchPred.btb.misses::CallDirect | Correlation: 0.4160 ↑
finalTick                      | Correlation: 0.4064 ↑
system.switch_cpus.iew.dispNonSpecInsts | Correlation: 0.3937 ↑
system.switch_cpus.statFuBusy::SimdAddAcc | Correlation: 0.3912 ↑
system.switch_cpus.statFuBusy::SimdShift | Correlation: 0.3909 ↑
system.switch_cpus.decode.blockedCycles | Correlation: 0.3860 ↑
system.mem_ctrls.wrQLenPdf::17 | Correlation: 0.3542 ↑
system.mem_ctrls.dram.perBankWrBursts::11 | Correlation: 0.3522 ↑
system.switch_cpus.fetch.nisnDist::stdev | Correlation: 0.3511 ↑
system.switch_cpus.rename.ROBFullEvents | Correlation: 0.3486 ↑
system.switch_cpus.statFuBusy::SimdMult | Correlation: 0.3481 ↑
system.l2.ReadCleanReq.mshrMissLatency::switch_cpus.inst | Correlation: 0.3412 ↑
system.l2.demandMshrMissLatency::switch_cpus.inst | Correlation: 0.3412 ↑
system.l2.ReadCleanReq.mshrMissLatency::total | Correlation: 0.3412 ↑
system.l2.overallMshrMissLatency::switch_cpus.inst | Correlation: 0.3412 ↑
system.switch_cpus.rob.squashedStores | Correlation: 0.3251 ↑
system.l2.demandMissLatency::switch_cpus.inst | Correlation: 0.3238 ↑
system.l2.ReadCleanReq.missLatency::total | Correlation: 0.3238 ↑
system.l2.ReadCleanReq.missLatency::switch_cpus.inst | Correlation: 0.3238 ↑
system.l2.overallMissLatency::switch_cpus.inst | Correlation: 0.3238 ↑
system.switch_cpus.numSquashedInsts | Correlation: 0.3191 ↑
system.switch_cpus.lsq0.squashedStores | Correlation: 0.3061 ↑
system.mem_ctrls.bytesReadWrQ  | Correlation: 0.3020 ↑
system.mem_ctrls.servicedByWrQ | Correlation: 0.3020 ↑
system.switch_cpus.statFuBusy::SimdCvt | Correlation: 0.2862 ↑
system.mem_ctrls.wrQLenPdf::9  | Correlation: 0.2862 ↑
system.mem_ctrls.wrQLenPdf::26 | Correlation: 0.2839 ↑
system.mem_ctrls.rdQLenPdf::0  | Correlation: 0.2837 ↑
system.switch_cpus.decode.unblockCycles | Correlation: 0.2835 ↑
system.switch_cpus.rename.IQFullEvents | Correlation: 0.2795 ↑
system.mem_ctrls.rdQLenPdf::5  | Correlation: 0.2792 ↑
system.mem_ctrls.dram.perBankWrBursts::2 | Correlation: 0.2647 ↑
system.mem_ctrls.dram.rank0.preEnergy | Correlation: 0.2518 ↑
system.mem_ctrls.avgPriority_writebacks::samples | Correlation: 0.2511 ↑
system.mem_ctrls.writeReqs     | Correlation: 0.2503 ↑
system.mem_ctrls.dram.numWrites::total | Correlation: 0.2503 ↑
system.mem_ctrls.requestorWriteAccesses::writebacks | Correlation: 0.2503 ↑
system.mem_ctrls.writePktSize::6 | Correlation: 0.2503 ↑
system.membus.transDist::WritebackDirty | Correlation: 0.2503 ↑
system.mem_ctrls.dram.bytesWritten::writebacks | Correlation: 0.2503 ↑
system.mem_ctrls.bytesWrittenSys | Correlation: 0.2503 ↑
system.mem_ctrls.dram.bytesWritten::total | Correlation: 0.2503 ↑
system.mem_ctrls.writeBursts   | Correlation: 0.2503 ↑
system.mem_ctrls.dram.numWrites::writebacks | Correlation: 0.2503 ↑
system.l2.writebacks::writebacks | Correlation: 0.2503 ↑
system.l2.writebacks::total    | Correlation: 0.2503 ↑
system.switch_cpus.numIssuedDist::9 | Correlation: 0.2484 ↑
system.mem_ctrls.dram.rank0.actEnergy | Correlation: 0.2467 ↑
system.tol2bus.snoop_filter.hitMultiRequests | Correlation: 0.2451 ↑
system.mem_ctrls.dram.bytesPerActivate::samples | Correlation: 0.2438 ↑
system.mem_ctrls.dram.bytesPerActivate::total | Correlation: 0.2438 ↑
system.mem_ctrls.wrPerTurnAround::mean | Correlation: 0.2409 ↑
system.mem_ctrls.wrPerTurnAround::gmean | Correlation: 0.2393 ↑
system.mem_ctrls.wrQLenPdf::34 | Correlation: 0.2390 ↑
system.mem_ctrls.rdPerTurnAround::mean | Correlation: 0.2390 ↑
system.l2.ReadSharedReq.missRate::total | Correlation: 0.2369 ↑
system.l2.ReadSharedReq.missRate::switch_cpus.data | Correlation: 0.2369 ↑
system.l2.ReadSharedReq.mshrMissRate::switch_cpus.data | Correlation: 0.2369 ↑
system.l2.ReadSharedReq.mshrMissRate::total | Correlation: 0.2369 ↑
system.switch_cpus.rename.serializing | Correlation: 0.2360 ↑
system.switch_cpus.rob.squashedLoads | Correlation: 0.2357 ↑
system.switch_cpus.lsq0.squashedLoads | Correlation: 0.2251 ↑
system.switch_cpus.rename.skidInsts | Correlation: 0.2230 ↑
system.mem_ctrls.dram.perBankWrBursts::1 | Correlation: 0.2216 ↑
system.switch_cpus.rename.SQFullEvents | Correlation: 0.2203 ↑
system.mem_ctrls.dram.perBankWrBursts::6 | Correlation: 0.2195 ↑
system.mem_ctrls.wrQLenPdf::25 | Correlation: 0.2193 ↑
system.switch_cpus.lsq0.loadToUse::max_value | Correlation: 0.2193 ↑
system.switch_cpus.branchPred.targetWrong_0::CallDirect | Correlation: 0.2172 ↑
system.switch_cpus.branchPred.corrected_0::Return | Correlation: 0.2172 ↑
system.switch_cpus.iew.unblockCycles | Correlation: 0.2132 ↑
system.l2.ReadExReq.hits::total | Correlation: 0.2130 ↑
system.l2.ReadExReq.hits::switch_cpus.data | Correlation: 0.2130 ↑
system.tol2bus.snoopFanout::mean | Correlation: 0.2112 ↑
system.switch_cpus.branchPred.mispredicted_0::Return | Correlation: 0.2107 ↑
system.switch_cpus.branchPred.ras.incorrect | Correlation: 0.2107 ↑
system.switch_cpus.commit.commitSquashedInsts | Correlation: 0.2098 ↑
system.switch_cpus.squashedInstsExamined | Correlation: 0.2097 ↑
system.mem_ctrls.dram.dramBytesWritten | Correlation: 0.2071 ↑
system.mem_ctrls.dram.writeBursts | Correlation: 0.2071 ↑
system.mem_ctrls.requestorWriteBytes::writebacks | Correlation: 0.2071 ↑
system.mem_ctrls.dram.rank1.actEnergy | Correlation: 0.2038 ↑
system.mem_ctrls.dram.rank1.preEnergy | Correlation: 0.2026 ↑
system.switch_cpus.commitStats0.numVecInsts | Correlation: 0.2001 ↑
system.switch_cpus.fetchStats0.fetchRate | Correlation: 0.2000 ↑
system.switch_cpus.statIssuedInstType_0::SimdCmp | Correlation: 0.1971 ↑
system.switch_cpus.rename.unblockCycles | Correlation: 0.1969 ↑
system.switch_cpus.statFuBusy::MemRead | Correlation: 0.1966 ↑
system.switch_cpus.lsq0.loadToUse::total | Correlation: 0.1960 ↑
system.switch_cpus.lsq0.loadToUse::samples | Correlation: 0.1960 ↑
system.l2.tags.avgOccs::total  | Correlation: 0.1960 ↑
system.l2.tags.tagsInUse       | Correlation: 0.1959 ↑
system.switch_cpus.fetch.nisnDist::mean | Correlation: 0.1937 ↑
system.switch_cpus.squashedInstsIssued | Correlation: 0.1925 ↑
system.tol2bus.snoop_filter.hitSingleSnoops | Correlation: 0.1918 ↑
system.tol2bus.snoop_filter.totSnoops | Correlation: 0.1915 ↑
system.switch_cpus.statFuBusy::IntAlu | Correlation: 0.1854 ↑
system.l2.ReadExReq.accesses::switch_cpus.data | Correlation: 0.1852 ↑
system.tol2bus.transDist::ReadExReq | Correlation: 0.1852 ↑
system.l2.ReadExReq.accesses::total | Correlation: 0.1852 ↑
system.tol2bus.transDist::ReadExResp | Correlation: 0.1852 ↑
system.mem_ctrls.wrQLenPdf::39 | Correlation: 0.1770 ↑
system.mem_ctrls.wrQLenPdf::38 | Correlation: 0.1739 ↑
system.switch_cpus.branchPred.squashes_0::CallIndirect | Correlation: 0.1737 ↑
system.tol2bus.snoopFanout::1  | Correlation: 0.1736 ↑
system.mem_ctrls.dram.perBankRdBursts::11 | Correlation: 0.1694 ↑
system.switch_cpus.rename.fullRegistersEvents | Correlation: 0.1692 ↑
system.switch_cpus.branchPred.BTBHitRatio | Correlation: 0.1655 ↑
system.switch_cpus.rename.undoneMaps | Correlation: 0.1654 ↑
system.switch_cpus.iew.blockCycles | Correlation: 0.1641 ↑
system.mem_ctrls.wrQLenPdf::42 | Correlation: 0.1637 ↑
system.tol2bus.snoopFanout::stdev | Correlation: 0.1618 ↑
system.switch_cpus.numIssuedDist::1 | Correlation: 0.1589 ↑
system.switch_cpus.decode.squashedInsts | Correlation: 0.1563 ↑
system.switch_cpus.branchPred.btb.updates::DirectUncond | Correlation: 0.1560 ↑
system.switch_cpus.branchPred.corrected_0::DirectUncond | Correlation: 0.1560 ↑
system.switch_cpus.branchPred.btb.mispredict::DirectUncond | Correlation: 0.1560 ↑
system.mem_ctrls.dram.bytesInstRead::switch_cpus.inst | Correlation: 0.1556 ↑
system.mem_ctrls.dram.bytesRead::switch_cpus.inst | Correlation: 0.1556 ↑
system.mem_ctrls.dram.numReads::switch_cpus.inst | Correlation: 0.1556 ↑
system.l2.overallMshrMisses::switch_cpus.inst | Correlation: 0.1556 ↑
system.l2.demandMshrMisses::switch_cpus.inst | Correlation: 0.1556 ↑
system.l2.ReadCleanReq.mshrMisses::switch_cpus.inst | Correlation: 0.1556 ↑
system.l2.ReadCleanReq.mshrMisses::total | Correlation: 0.1556 ↑
system.mem_ctrls.requestorReadAccesses::switch_cpus.inst | Correlation: 0.1556 ↑
system.mem_ctrls.requestorReadBytes::switch_cpus.inst | Correlation: 0.1556 ↑
system.mem_ctrls.avgPriority_switch_cpus.inst::samples | Correlation: 0.1556 ↑
system.l2.overallMisses::switch_cpus.inst | Correlation: 0.1546 ↑
system.l2.ReadCleanReq.misses::switch_cpus.inst | Correlation: 0.1546 ↑
system.l2.demandMisses::switch_cpus.inst | Correlation: 0.1546 ↑
system.mem_ctrls.dram.bytesInstRead::total | Correlation: 0.1541 ↑
system.switch_cpus.branchPred.BTBMispredicted | Correlation: 0.1539 ↑
system.l2.ReadCleanReq.misses::total | Correlation: 0.1532 ↑
hostSeconds                    | Correlation: 0.1509 ↑
system.switch_cpus.lsq0.loadToUse::80-89 | Correlation: 0.1508 ↑
system.mem_ctrls.dram.perBankRdBursts::9 | Correlation: 0.1492 ↑
system.l2.demandMissRate::switch_cpus.data | Correlation: 0.1479 ↑
system.l2.overallMissRate::switch_cpus.data | Correlation: 0.1479 ↑
system.l2.demandMshrMissRate::switch_cpus.data | Correlation: 0.1479 ↑
system.l2.overallMshrMissRate::switch_cpus.data | Correlation: 0.1479 ↑
system.mem_ctrls.dram.perBankRdBursts::3 | Correlation: 0.1473 ↑
system.switch_cpus.lsq0.loadToUse::140-149 | Correlation: 0.1454 ↑
system.switch_cpus.lsq0.loadToUse::270-279 | Correlation: 0.1445 ↑
system.mem_ctrls.wrPerTurnAround::19 | Correlation: 0.1403 ↑
system.mem_ctrls.dram.bytesPerActivate::0-127 | Correlation: 0.1387 ↑
system.mem_ctrls.dram.bytesPerActivate::640-767 | Correlation: 0.1376 ↑
system.mem_ctrls.dram.perBankWrBursts::9 | Correlation: 0.1329 ↑
system.tol2bus.transDist::ReadCleanReq | Correlation: 0.1318 ↑
system.mem_ctrls.wrQLenPdf::40 | Correlation: 0.1313 ↑
system.mem_ctrls.dram.bytesPerActivate::512-639 | Correlation: 0.1294 ↑
system.mem_ctrls.dram.perBankWrBursts::15 | Correlation: 0.1286 ↑
system.l2.ReadExReq.misses::total | Correlation: 0.1276 ↑
system.l2.ReadExReq.mshrMisses::switch_cpus.data | Correlation: 0.1276 ↑
system.l2.ReadExReq.mshrMisses::total | Correlation: 0.1276 ↑
system.l2.ReadExReq.misses::switch_cpus.data | Correlation: 0.1276 ↑
system.membus.transDist::ReadExReq | Correlation: 0.1274 ↑
system.membus.transDist::ReadExResp | Correlation: 0.1274 ↑
system.tol2bus.respLayer0.occupancy | Correlation: 0.1267 ↑
system.switch_cpus.branchPred.mispredicted_0::total | Correlation: 0.1267 ↑
system.mem_ctrls.dram.bytesPerActivate::256-383 | Correlation: 0.1263 ↑
system.l2.ReadCleanReq.accesses::switch_cpus.inst | Correlation: 0.1254 ↑
system.l2.demandAccesses::switch_cpus.inst | Correlation: 0.1254 ↑
system.l2.overallAccesses::switch_cpus.inst | Correlation: 0.1254 ↑
system.l2.ReadCleanReq.accesses::total | Correlation: 0.1242 ↑
system.mem_ctrls.dram.perBankRdBursts::13 | Correlation: 0.1240 ↑
system.mem_ctrls.dram.bytesPerActivate::384-511 | Correlation: 0.1220 ↑
system.switch_cpus.iew.lsqFullEvents | Correlation: 0.1216 ↑
system.mem_ctrls.dram.bytesPerActivate::1024-1151 | Correlation: 0.1213 ↑
system.l2.tags.occupancies::switch_cpus.data | Correlation: 0.1204 ↑
system.l2.tags.avgOccs::switch_cpus.data | Correlation: 0.1201 ↑
system.switch_cpus.fuBusy      | Correlation: 0.1199 ↑
system.mem_ctrls.rdQLenPdf::6  | Correlation: 0.1199 ↑
system.mem_ctrls.dram.perBankWrBursts::7 | Correlation: 0.1184 ↑
system.mem_ctrls.wrQLenPdf::41 | Correlation: 0.1178 ↑
system.mem_ctrls.dram.perBankRdBursts::6 | Correlation: 0.1174 ↑
system.mem_ctrls.dram.rank0.readEnergy | Correlation: 0.1173 ↑
system.tol2bus.snoops          | Correlation: 0.1170 ↑
system.switch_cpus.lsq0.loadToUse::280-289 | Correlation: 0.1167 ↑
system.mem_ctrls.dram.bytesPerActivate::128-255 | Correlation: 0.1164 ↑
system.switch_cpus.branchPred.corrected_0::CallIndirect | Correlation: 0.1159 ↑
system.l2.tags.occupancies::writebacks | Correlation: 0.1158 ↑
system.mem_ctrls.dram.perBankRdBursts::4 | Correlation: 0.1149 ↑
system.mem_ctrls.dram.perBankRdBursts::2 | Correlation: 0.1143 ↑
system.tol2bus.snoopTraffic    | Correlation: 0.1142 ↑
system.membus.respLayer1.occupancy | Correlation: 0.1141 ↑
system.membus.snoop_filter.totRequests | Correlation: 0.1125 ↑
system.mem_ctrls.dram.writeRowHitRate | Correlation: 0.1114 ↑
system.membus.pktSize::total   | Correlation: 0.1105 ↑
