
---------- Begin Simulation Statistics ----------
simSeconds                                   0.118808                       # Number of seconds simulated (Second)
simTicks                                 118808427500                       # Number of ticks simulated (Tick)
finalTick                                118808427500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   2968.49                       # Real time elapsed on the host (Second)
hostTickRate                                 40023220                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     649072                       # Number of bytes of host memory used (Byte)
simInsts                                    701649707                       # Number of instructions simulated (Count)
simOps                                      769676021                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   236366                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     259282                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        237616856                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       806362066                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      175                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      787274637                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                2363805                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             36686219                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          96317585                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  90                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           237559701                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.314008                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.450750                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::20                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::21                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::22                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::23                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::24                        0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                18                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             237559701                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 1859173      2.12%      2.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                     29      0.00%      2.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      2.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                  3397      0.00%      2.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      2.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     3      0.00%      2.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult             14354975     16.34%     18.46% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc           6451617      7.34%     25.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                    10      0.00%     25.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc              2637146      3.00%     28.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     28.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                    117      0.00%     28.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     28.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                     11      0.00%     28.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                     45      0.00%     28.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                      0      0.00%     28.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                    35      0.00%     28.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     28.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     28.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                  178      0.00%     28.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     28.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%     28.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSqrt                     0      0.00%     28.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAdd                 0      0.00%     28.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAlu                 0      0.00%     28.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCmp                 0      0.00%     28.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCvt                 0      0.00%     28.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatDiv                 0      0.00%     28.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMisc                0      0.00%     28.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMult                0      0.00%     28.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMultAcc             0      0.00%     28.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatSqrt                0      0.00%     28.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceAdd                0      0.00%     28.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceAlu                0      0.00%     28.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceCmp                0      0.00%     28.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatReduceAdd            0      0.00%     28.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatReduceCmp            0      0.00%     28.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAes                      0      0.00%     28.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAesMix                   0      0.00%     28.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha1Hash                 0      0.00%     28.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha1Hash2                0      0.00%     28.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha256Hash               0      0.00%     28.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha256Hash2              0      0.00%     28.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShaSigma2                0      0.00%     28.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShaSigma3                0      0.00%     28.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdPredAlu                  0      0.00%     28.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::MemRead               42354510     48.20%     77.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::MemWrite              20210782     23.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMemRead                 0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMemWrite                0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IprAccess                    0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::InstPrefetch                 0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statIssuedInstType_0::No_OpClass           85      0.00%      0.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::IntAlu     180035595     22.87%     22.87% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::IntMult        93742      0.01%     22.88% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::IntDiv            12      0.00%     22.88% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatAdd     70816644      9.00%     31.88% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatCmp      2133800      0.27%     32.15% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatCvt      1598357      0.20%     32.35% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatMult     70858094      9.00%     41.35% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatMultAcc     81243275     10.32%     51.67% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatDiv      1500520      0.19%     51.86% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatMisc      6404524      0.81%     52.67% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatSqrt            0      0.00%     52.67% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdAdd          393      0.00%     52.67% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdAddAcc            0      0.00%     52.67% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdAlu          603      0.00%     52.67% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdCmp          166      0.00%     52.67% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdCvt            2      0.00%     52.67% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdMisc       102159      0.01%     52.69% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdMult            0      0.00%     52.69% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdMultAcc            0      0.00%     52.69% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdShift          756      0.00%     52.69% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdShiftAcc            0      0.00%     52.69% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdDiv            0      0.00%     52.69% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdSqrt            0      0.00%     52.69% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatAdd            0      0.00%     52.69% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatAlu            0      0.00%     52.69% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatCmp            0      0.00%     52.69% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatCvt            0      0.00%     52.69% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatDiv            0      0.00%     52.69% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatMisc            0      0.00%     52.69% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatMult            0      0.00%     52.69% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatMultAcc            0      0.00%     52.69% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatSqrt            0      0.00%     52.69% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdReduceAdd            0      0.00%     52.69% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdReduceAlu            0      0.00%     52.69% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdReduceCmp            0      0.00%     52.69% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatReduceAdd            0      0.00%     52.69% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatReduceCmp            0      0.00%     52.69% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdAes            0      0.00%     52.69% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdAesMix            0      0.00%     52.69% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdSha1Hash            0      0.00%     52.69% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdSha1Hash2            0      0.00%     52.69% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdSha256Hash            0      0.00%     52.69% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdSha256Hash2            0      0.00%     52.69% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdShaSigma2            0      0.00%     52.69% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdShaSigma3            0      0.00%     52.69% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdPredAlu            0      0.00%     52.69% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::MemRead    240111899     30.50%     83.19% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::MemWrite    132374011     16.81%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatMemRead            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatMemWrite            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::IprAccess            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::InstPrefetch            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::total      787274637                       # Number of instructions issued per FU type, per thread (Count)
system.cpu.issueRate                         3.313210                       # Inst issue rate ((Count/Cycle))
system.cpu.fuBusy                            87872028                       # FU busy when requested (Count)
system.cpu.fuBusyRate                        0.111615                       # FU busy rate (busy events/executed inst) ((Count/Count))
system.cpu.intInstQueueReads                611550068                       # Number of integer instruction queue reads (Count)
system.cpu.intInstQueueWrites               194523529                       # Number of integer instruction queue writes (Count)
system.cpu.intInstQueueWakeupAccesses       184225507                       # Number of integer instruction queue wakeup accesses (Count)
system.cpu.fpInstQueueReads                         0                       # Number of floating instruction queue reads (Count)
system.cpu.fpInstQueueWrites                        0                       # Number of floating instruction queue writes (Count)
system.cpu.fpInstQueueWakeupAccesses                0                       # Number of floating instruction queue wakeup accesses (Count)
system.cpu.vecInstQueueReads               1290794740                       # Number of vector instruction queue reads (Count)
system.cpu.vecInstQueueWrites               648624599                       # Number of vector instruction queue writes (Count)
system.cpu.vecInstQueueWakeupAccesses       596687321                       # Number of vector instruction queue wakeup accesses (Count)
system.cpu.intAluAccesses                   188721149                       # Number of integer alu accesses (Count)
system.cpu.fpAluAccesses                            0                       # Number of floating point alu accesses (Count)
system.cpu.vecAluAccesses                   686425431                       # Number of vector alu accesses (Count)
system.cpu.numInsts                         783321395                       # Number of executed instructions (Count)
system.cpu.numLoadInsts                     238086354                       # Number of load instructions executed (Count)
system.cpu.numSquashedInsts                   3953242                       # Number of squashed instructions skipped in execute (Count)
system.cpu.numSwp                                   0                       # Number of swp insts executed (Count)
system.cpu.numNop                                 329                       # Number of nop insts executed (Count)
system.cpu.numRefs                          370356475                       # Number of memory reference insts executed (Count)
system.cpu.numBranches                       37896238                       # Number of branches executed (Count)
system.cpu.numStoreInsts                    132270121                       # Number of stores executed (Count)
system.cpu.numRate                           3.296573                       # Inst execution rate ((Count/Cycle))
system.cpu.timesIdled                             775                       # Number of times that the entire CPU went into an idle state and unscheduled itself (Count)
system.cpu.idleCycles                           57155                       # Total number of cycles that the CPU has spent unscheduled due to idling (Cycle)
system.cpu.committedInsts                   701649707                       # Number of Instructions Simulated (Count)
system.cpu.committedOps                     769676021                       # Number of Ops (including micro ops) Simulated (Count)
system.cpu.cpi                               0.338655                       # CPI: Cycles Per Instruction ((Cycle/Count))
system.cpu.totalCpi                          0.338655                       # CPI: Total CPI of All Threads ((Cycle/Count))
system.cpu.ipc                               2.952862                       # IPC: Instructions Per Cycle ((Count/Cycle))
system.cpu.totalIpc                          2.952862                       # IPC: Total IPC of All Threads ((Count/Cycle))
system.cpu.intRegfileReads                  555706826                       # Number of integer regfile reads (Count)
system.cpu.intRegfileWrites                 119686923                       # Number of integer regfile writes (Count)
system.cpu.vecRegfileReads                 1165618795                       # number of vector regfile reads (Count)
system.cpu.ccRegfileReads                    99017515                       # number of cc regfile reads (Count)
system.cpu.ccRegfileWrites                  101635828                       # number of cc regfile writes (Count)
system.cpu.miscRegfileReads                1460324996                       # number of misc regfile reads (Count)
system.cpu.miscRegfileWrites                226761693                       # number of misc regfile writes (Count)
system.cpu.MemDepUnit__0<bad format>.insertedLoads    242823072                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0<bad format>.insertedStores    135263655                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0<bad format>.conflictingLoads     59009437                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__0<bad format>.conflictingStores     69285647                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__0<bad format>.baseUsingStoreSetCheck    295648652                       # Number of times base case uses storeset (Count)
system.cpu.MemDepUnit__0<bad format>.BypassStoreSetCheck     82437434                       # Number of time we bypass storeset stores due to alias analysis (Count)
system.cpu.MemDepUnit__0<bad format>.SSITCollisions    119310598                       # Number of times two different PCs hash to the same SSIT entry within a clear period. (Count)
system.cpu.MemDepUnit__0<bad format>.SSITOverwrites         4340                       # Number of times an existing SSIT entry is overwritten (Count)
system.cpu.MemDepUnit__0<bad format>.LFSTInvalidations     11056484                       # Number of times an issued store has to invalidate itself in LFST. (Count)
system.cpu.MemDepUnit__1<bad format>.insertedLoads            0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1<bad format>.insertedStores            0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1<bad format>.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__1<bad format>.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__1<bad format>.baseUsingStoreSetCheck            0                       # Number of times base case uses storeset (Count)
system.cpu.MemDepUnit__1<bad format>.BypassStoreSetCheck            0                       # Number of time we bypass storeset stores due to alias analysis (Count)
system.cpu.MemDepUnit__1<bad format>.SSITCollisions            0                       # Number of times two different PCs hash to the same SSIT entry within a clear period. (Count)
system.cpu.MemDepUnit__1<bad format>.SSITOverwrites            0                       # Number of times an existing SSIT entry is overwritten (Count)
system.cpu.MemDepUnit__1<bad format>.LFSTInvalidations            0                       # Number of times an issued store has to invalidate itself in LFST. (Count)
system.cpu.MemDepUnit__2<bad format>.insertedLoads            0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__2<bad format>.insertedStores            0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__2<bad format>.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__2<bad format>.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__2<bad format>.baseUsingStoreSetCheck            0                       # Number of times base case uses storeset (Count)
system.cpu.MemDepUnit__2<bad format>.BypassStoreSetCheck            0                       # Number of time we bypass storeset stores due to alias analysis (Count)
system.cpu.MemDepUnit__2<bad format>.SSITCollisions            0                       # Number of times two different PCs hash to the same SSIT entry within a clear period. (Count)
system.cpu.MemDepUnit__2<bad format>.SSITOverwrites            0                       # Number of times an existing SSIT entry is overwritten (Count)
system.cpu.MemDepUnit__2<bad format>.LFSTInvalidations            0                       # Number of times an issued store has to invalidate itself in LFST. (Count)
system.cpu.MemDepUnit__3<bad format>.insertedLoads            0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__3<bad format>.insertedStores            0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__3<bad format>.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__3<bad format>.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__3<bad format>.baseUsingStoreSetCheck            0                       # Number of times base case uses storeset (Count)
system.cpu.MemDepUnit__3<bad format>.BypassStoreSetCheck            0                       # Number of time we bypass storeset stores due to alias analysis (Count)
system.cpu.MemDepUnit__3<bad format>.SSITCollisions            0                       # Number of times two different PCs hash to the same SSIT entry within a clear period. (Count)
system.cpu.MemDepUnit__3<bad format>.SSITOverwrites            0                       # Number of times an existing SSIT entry is overwritten (Count)
system.cpu.MemDepUnit__3<bad format>.LFSTInvalidations            0                       # Number of times an issued store has to invalidate itself in LFST. (Count)
system.cpu.StoreSet__0.insertedLoads        242823072                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.StoreSet__0.insertedStores       135263655                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.StoreSet__0.conflictingLoads      59009437                       # Number of conflicting loads. (Count)
system.cpu.StoreSet__0.conflictingStores     69285647                       # Number of conflicting stores. (Count)
system.cpu.StoreSet__0.baseUsingStoreSetCheck    295648652                       # Number of times base case uses storeset (Count)
system.cpu.StoreSet__0.BypassStoreSetCheck     82437434                       # Number of time we bypass storeset stores due to alias analysis (Count)
system.cpu.StoreSet__0.SSITCollisions       119310598                       # Number of times two different PCs hash to the same SSIT entry within a clear period. (Count)
system.cpu.StoreSet__0.SSITOverwrites            4340                       # Number of times an existing SSIT entry is overwritten (Count)
system.cpu.StoreSet__0.LFSTInvalidations     11056484                       # Number of times an issued store has to invalidate itself in LFST. (Count)
system.cpu.StoreSet__1.insertedLoads                0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.StoreSet__1.insertedStores               0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.StoreSet__1.conflictingLoads             0                       # Number of conflicting loads. (Count)
system.cpu.StoreSet__1.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.StoreSet__1.baseUsingStoreSetCheck            0                       # Number of times base case uses storeset (Count)
system.cpu.StoreSet__1.BypassStoreSetCheck            0                       # Number of time we bypass storeset stores due to alias analysis (Count)
system.cpu.StoreSet__1.SSITCollisions               0                       # Number of times two different PCs hash to the same SSIT entry within a clear period. (Count)
system.cpu.StoreSet__1.SSITOverwrites               0                       # Number of times an existing SSIT entry is overwritten (Count)
system.cpu.StoreSet__1.LFSTInvalidations            0                       # Number of times an issued store has to invalidate itself in LFST. (Count)
system.cpu.StoreSet__2.insertedLoads                0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.StoreSet__2.insertedStores               0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.StoreSet__2.conflictingLoads             0                       # Number of conflicting loads. (Count)
system.cpu.StoreSet__2.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.StoreSet__2.baseUsingStoreSetCheck            0                       # Number of times base case uses storeset (Count)
system.cpu.StoreSet__2.BypassStoreSetCheck            0                       # Number of time we bypass storeset stores due to alias analysis (Count)
system.cpu.StoreSet__2.SSITCollisions               0                       # Number of times two different PCs hash to the same SSIT entry within a clear period. (Count)
system.cpu.StoreSet__2.SSITOverwrites               0                       # Number of times an existing SSIT entry is overwritten (Count)
system.cpu.StoreSet__2.LFSTInvalidations            0                       # Number of times an issued store has to invalidate itself in LFST. (Count)
